aX,aY,aZ,gX,gY,gZ
-0.176,2.205,1.264,-219.849,-230.225,349.609
-0.149,2.088,1.220,-223.022,-330.688,361.023
-0.195,1.994,0.953,-232.422,-421.936,372.253
-0.194,1.987,0.666,-252.869,-446.777,380.005
-0.038,2.186,0.596,-283.630,-390.930,377.991
0.293,2.443,0.780,-319.580,-280.334,361.694
0.831,2.703,1.258,-355.103,-166.870,331.299
1.370,2.974,1.906,-377.686,-106.934,291.321
1.762,3.190,2.548,-377.991,-105.652,252.869
2.155,3.190,3.161,-349.304,-112.793,228.333
2.613,3.102,3.590,-294.739,-115.723,220.154
2.909,3.019,3.843,-225.464,-160.767,214.417
2.998,3.009,3.859,-154.419,-255.188,196.533
2.924,3.031,3.673,-87.097,-341.003,164.185
2.857,3.047,3.307,-30.151,-365.112,119.629
2.641,3.038,2.918,4.822,-339.233,57.434
2.320,3.011,2.648,16.663,-292.725,-19.836
1.958,2.995,2.551,14.648,-235.657,-102.600
1.635,3.002,2.647,10.132,-171.082,-176.697
1.371,2.966,2.769,12.634,-116.455,-233.154
1.168,2.823,2.836,24.109,-79.834,-269.348
1.025,2.604,2.807,45.288,-59.814,-288.208
0.884,2.366,2.719,74.768,-52.917,-296.936
0.763,2.058,2.427,102.417,-51.208,-303.467
0.662,1.796,2.138,128.418,-47.852,-307.556
0.294,-0.399,-0.182,116.760,181.763,-43.030
0.311,-0.376,-0.326,108.459,189.758,-50.720
0.341,-0.348,-0.416,98.450,200.684,-56.335
0.351,-0.289,-0.464,89.661,207.947,-59.937
0.333,-0.213,-0.473,82.947,209.839,-59.937
0.321,-0.105,-0.464,77.942,204.834,-56.702
0.295,0.028,-0.445,73.975,192.200,-51.758
0.318,0.163,-0.406,69.763,173.218,-45.898
0.252,0.331,-0.418,65.002,144.470,-39.246
0.224,0.474,-0.449,55.359,119.263,-33.569
0.201,0.566,-0.494,39.795,94.666,-29.663
0.187,0.649,-0.562,17.456,68.420,-30.151
0.166,0.714,-0.600,-11.047,46.753,-36.560
0.123,0.784,-0.585,-42.236,35.828,-47.363
0.061,0.865,-0.552,-70.313,31.616,-57.800
-0.007,0.937,-0.502,-90.027,32.227,-62.927
-0.056,0.991,-0.464,-102.661,37.109,-63.049
-0.091,1.026,-0.420,-111.633,44.922,-60.913
-0.111,1.066,-0.389,-118.103,52.124,-57.007
-0.120,1.108,-0.361,-123.596,57.434,-50.720
-0.115,1.163,-0.327,-131.226,58.533,-44.006
-0.144,1.218,-0.283,-143.372,54.443,-38.940
-0.182,1.250,-0.221,-159.302,46.143,-35.339
-0.204,1.289,-0.160,-174.011,32.837,-30.640
-0.229,1.307,-0.130,-187.744,13.611,-23.499
-0.281,1.285,-0.111,-202.332,-8.606,-14.771
-0.344,1.279,-0.080,-212.524,-27.466,-2.563
-0.372,1.269,-0.060,-217.041,-42.969,15.808
-0.351,1.260,-0.087,-221.619,-60.181,37.048
-0.322,1.223,-0.147,-233.337,-82.336,55.908
-0.384,1.245,-0.109,-254.211,-109.375,66.528
-0.370,1.206,0.085,-276.001,-143.921,69.702
-0.573,1.214,0.179,-287.659,-207.764,68.298
-0.797,1.197,0.101,-285.950,-266.113,64.148
-0.919,1.167,-0.082,-277.161,-290.894,59.082
-1.047,1.360,-0.179,-273.682,-284.424,57.983
-1.030,1.558,0.050,-283.813,-246.460,61.340
-0.867,1.673,0.468,-310.425,-205.811,67.444
-0.706,1.810,1.053,-342.468,-194.580,82.581
-0.516,1.870,1.737,-371.399,-213.928,106.567
-0.293,1.822,2.379,-394.897,-255.798,134.766
-0.085,1.725,3.024,-407.104,-311.462,159.363
0.166,1.722,3.602,-400.146,-364.319,167.175
0.342,1.737,4.000,-370.972,-398.926,148.682
0.380,1.713,4.000,-322.998,-397.034,105.408
0.610,1.735,4.000,-265.930,-340.271,43.396
0.525,1.720,4.000,-207.581,-261.719,-20.142
0.521,1.754,4.000,-157.837,-192.932,-83.679
0.555,1.850,4.000,-113.098,-145.081,-129.089
0.535,1.841,4.000,-69.580,-108.337,-152.893
0.564,1.822,4.000,-20.508,-96.924,-162.537
0.602,1.785,4.000,31.372,-97.900,-171.326
0.582,1.752,4.000,81.238,-106.140,-183.411
0.377,1.688,4.000,124.207,-112.488,-193.604
0.136,1.628,4.000,162.354,-100.830,-200.989
-0.055,1.557,3.543,198.242,-71.777,-206.604
-0.218,1.491,3.059,228.149,-34.546,-211.182
-0.330,1.409,2.667,251.526,4.517,-214.722
-0.395,1.300,2.311,270.142,42.786,-216.492
-0.460,1.140,1.991,285.034,78.064,-216.553
-0.508,0.964,1.696,297.852,103.149,-217.468
-0.538,0.772,1.417,309.265,115.234,-218.567
-0.593,0.572,1.179,318.176,116.699,-217.346
-0.652,0.410,0.964,324.524,107.300,-213.074
-0.684,0.304,0.749,326.782,91.797,-205.688
-0.717,0.219,0.539,321.655,78.186,-195.129
-0.746,0.119,0.345,309.631,73.059,-181.458
-0.706,0.012,0.189,296.143,81.421,-165.039
-0.619,-0.082,0.073,281.921,100.525,-148.865
-0.535,-0.165,-0.010,267.273,123.230,-136.230
-0.448,-0.218,-0.076,253.235,145.142,-129.456
-0.407,-0.270,-0.073,240.601,162.537,-125.671
-0.359,-0.273,-0.028,229.004,162.781,-123.413
-0.396,-0.250,0.014,219.604,142.700,-118.896
-0.418,-0.239,0.043,212.524,110.779,-109.924
-0.456,-0.236,0.030,208.191,64.880,-96.802
-0.499,-0.224,-0.013,206.970,15.747,-79.834
-0.533,-0.223,-0.093,207.520,-23.010,-59.448
-0.573,-0.249,-0.225,208.435,-48.767,-38.330
-0.576,-0.284,-0.404,206.543,-60.425,-21.240
-0.568,-0.344,-0.568,199.280,-58.533,-12.390
-0.585,-0.387,-0.669,187.683,-46.326,-14.282
-0.620,-0.406,-0.702,175.842,-29.114,-23.071
-0.694,-0.401,-0.682,166.504,-13.977,-32.654
-0.748,-0.375,-0.628,158.936,-5.310,-39.185
-0.818,-0.333,-0.581,152.161,-8.911,-40.894
-0.869,-0.288,-0.530,145.142,-21.362,-37.048
-0.902,-0.241,-0.497,135.864,-43.701,-28.809
-0.914,-0.214,-0.513,121.704,-77.148,-18.860
-0.936,-0.205,-0.551,102.356,-116.882,-9.644
-0.954,-0.156,-0.573,80.750,-161.133,-4.028
-1.023,-0.075,-0.607,58.228,-204.956,-0.366
-1.110,-0.006,-0.667,36.743,-240.601,1.282
-1.216,0.072,-0.728,18.433,-262.207,1.953
-1.330,0.154,-0.797,2.502,-270.325,2.014
-1.440,0.253,-0.892,-9.705,-266.724,1.282
-1.575,0.382,-0.983,-17.517,-254.639,0.183
-1.737,0.592,-1.037,-26.306,-237.122,-0.183
-1.884,0.796,-1.078,-43.884,-221.130,5.066
-2.027,1.038,-1.080,-74.280,-209.473,19.775
-2.148,1.260,-1.016,-117.310,-203.247,48.035
-2.237,1.468,-0.935,-171.814,-205.322,88.989
-2.268,1.697,-0.802,-231.995,-214.966,137.756
-2.204,1.903,-0.597,-290.283,-229.065,189.026
-2.035,2.079,-0.383,-343.811,-246.094,234.436
-1.860,2.261,-0.140,-387.329,-263.245,270.569
-1.631,2.494,0.224,-424.377,-277.100,295.288
-1.370,2.738,0.762,-463.623,-281.555,309.814
-1.133,2.977,1.572,-507.446,-276.978,316.345
-0.798,3.105,2.568,-544.434,-271.484,311.584
-0.556,2.864,3.392,-549.194,-277.771,293.701
-0.557,2.484,3.791,-503.418,-295.044,268.738
-0.711,2.250,3.781,-411.743,-298.645,238.953
-0.862,2.154,3.633,-316.956,-270.569,207.520
-0.991,2.055,3.505,-259.888,-218.201,185.547
-1.005,1.989,3.603,-232.971,-161.926,180.725
-0.938,1.805,3.785,-219.727,-125.793,186.890
-0.817,1.603,3.861,-203.186,-117.371,198.242
-0.691,1.439,3.843,-173.767,-126.770,208.984
0.284,-0.347,0.967,61.646,188.965,-39.063
0.342,-0.343,0.897,67.871,191.772,-39.734
0.381,-0.338,0.793,76.660,194.458,-44.800
0.403,-0.318,0.665,86.548,196.960,-54.138
0.406,-0.292,0.524,97.168,200.317,-67.505
0.380,-0.251,0.382,107.178,206.726,-82.825
0.336,-0.206,0.218,115.601,215.820,-97.534
0.294,-0.152,0.051,121.521,226.929,-109.558
0.249,-0.101,-0.102,124.634,238.892,-117.920
0.208,-0.051,-0.234,124.023,248.413,-123.962
0.155,0.004,-0.337,118.958,255.554,-128.845
0.092,0.078,-0.398,110.046,260.803,-131.775
0.035,0.159,-0.428,98.206,266.724,-130.554
-0.018,0.236,-0.436,82.458,274.597,-123.291
-0.050,0.306,-0.406,64.514,283.447,-109.314
-0.063,0.369,-0.357,46.021,286.987,-91.003
-0.065,0.443,-0.305,28.076,281.128,-71.472
-0.066,0.526,-0.267,11.963,264.648,-52.795
-0.069,0.609,-0.243,-2.197,238.403,-36.255
-0.077,0.707,-0.243,-13.855,203.674,-21.362
-0.086,0.795,-0.286,-23.743,160.095,-8.911
-0.090,0.870,-0.374,-33.752,110.596,1.038
-0.098,0.922,-0.495,-46.021,60.425,6.226
-0.156,0.976,-0.622,-64.331,11.597,3.967
-0.271,1.048,-0.777,-89.722,-33.142,-3.906
-0.399,1.141,-0.934,-121.094,-68.542,-10.498
-0.524,1.250,-1.070,-158.203,-87.036,-12.268
-0.683,1.392,-1.180,-200.500,-83.862,-7.202
-0.836,1.562,-1.203,-244.629,-58.838,9.460
-0.903,1.768,-1.105,-289.062,-18.799,40.771
-0.878,1.984,-0.872,-329.041,27.222,84.412
-0.782,2.141,-0.583,-356.201,64.758,132.996
-0.702,2.268,-0.329,-369.324,80.078,180.481
-0.620,2.362,-0.125,-374.817,73.364,220.398
-0.537,2.436,0.097,-376.404,48.523,256.409
-0.457,2.483,0.313,-377.563,4.883,290.833
-0.397,2.507,0.393,-380.127,-59.326,320.862
0.058,2.645,0.515,-386.841,-135.010,345.825
-0.585,2.704,0.451,-396.851,-207.031,374.817
-0.418,2.757,0.890,-404.053,-217.773,380.676
-0.261,3.025,1.400,-396.057,-247.253,386.658
0.197,3.136,1.912,-391.785,-260.254,393.860
