aX,aY,aZ,gX,gY,gZ
0.368,0.318,0.345,-141.174,212.463,-231.873
0.342,0.355,0.535,-132.690,229.858,-215.515
0.361,0.371,0.816,-129.333,228.149,-200.012
0.322,0.438,1.096,-136.658,203.674,-184.753
0.208,0.466,1.292,-152.283,159.973,-171.997
0.098,0.437,1.406,-168.274,108.032,-161.682
-0.058,0.448,1.432,-175.964,57.495,-145.447
-0.149,0.391,1.412,-168.274,16.357,-123.840
-0.160,0.298,1.357,-148.315,-9.705,-97.778
-0.136,0.193,1.317,-121.033,-22.156,-72.571
-0.030,0.193,1.329,-93.201,-27.954,-53.650
-0.033,-0.037,1.369,-66.406,-38.147,-41.870
-0.049,-0.126,1.339,-53.162,-51.025,-34.607
0.005,-0.120,1.291,-45.715,-63.965,-34.241
-0.028,-0.163,1.214,-33.752,-79.651,-34.424
-0.102,-0.223,1.031,-26.123,-82.886,-29.846
-0.094,-0.264,0.868,-18.250,-64.697,-24.963
-0.008,-0.297,0.811,-5.737,-36.194,-19.592
0.034,-0.338,0.788,7.446,-9.460,-9.827
0.053,-0.392,0.781,19.775,11.719,1.770
0.119,-0.453,0.793,30.762,24.658,12.939
0.199,-0.533,0.782,35.950,26.611,20.569
0.275,-0.636,0.733,34.424,19.653,22.949
0.305,-0.671,0.670,30.334,6.470,20.508
0.312,-0.697,0.626,26.611,-6.958,14.954
0.307,-0.705,0.591,23.865,-18.860,9.583
0.317,-0.704,0.564,21.301,-27.832,5.981
0.343,-0.694,0.555,19.714,-32.349,4.578
0.366,-0.682,0.550,19.287,-32.837,5.981
0.377,-0.698,0.553,20.508,-28.748,9.827
0.402,-0.724,0.569,24.170,-21.973,14.893
0.432,-0.742,0.591,28.992,-15.381,18.921
0.455,-0.765,0.608,33.936,-11.230,21.545
0.467,-0.779,0.629,38.757,-10.071,22.522
0.479,-0.783,0.652,42.358,-12.573,22.827
0.490,-0.788,0.665,43.213,-19.104,24.109
0.511,-0.795,0.690,42.297,-28.198,26.611
0.541,-0.810,0.715,40.833,-38.940,28.076
0.537,-0.823,0.711,39.978,-49.683,27.771
0.514,-0.819,0.692,41.260,-58.350,26.428
0.500,-0.806,0.679,45.349,-62.256,25.452
0.492,-0.801,0.690,50.476,-62.866,26.123
0.485,-0.806,0.705,53.955,-63.904,28.198
0.471,-0.803,0.705,55.420,-66.345,29.236
0.456,-0.795,0.693,57.922,-69.031,30.640
0.436,-0.788,0.681,61.768,-70.618,33.508
0.433,-0.786,0.676,66.040,-70.862,36.865
0.456,-0.781,0.662,70.496,-69.885,40.649
0.479,-0.799,0.637,75.439,-67.871,43.701
0.488,-0.815,0.598,80.627,-65.369,44.739
0.370,-0.924,0.389,116.089,-32.227,43.579
0.375,-0.921,0.303,117.615,-39.368,39.978
0.376,-0.909,0.224,116.760,-47.668,36.011
0.389,-0.895,0.166,114.624,-56.030,32.043
0.393,-0.877,0.094,110.352,-63.660,28.625
0.373,-0.860,0.018,105.469,-69.702,25.330
0.364,-0.838,-0.049,101.257,-72.205,20.935
0.353,-0.811,-0.110,96.924,-69.397,15.503
0.312,-0.775,-0.172,92.346,-61.829,9.705
0.259,-0.733,-0.207,88.318,-51.941,3.906
0.214,-0.688,-0.215,85.449,-41.504,-0.854
0.165,-0.628,-0.207,82.581,-32.471,-4.028
0.113,-0.568,-0.191,78.979,-27.832,-5.615
0.050,-0.502,-0.169,73.547,-29.663,-6.287
-0.016,-0.426,-0.158,64.514,-36.194,-7.141
-0.100,-0.345,-0.146,53.223,-45.959,-7.141
-0.190,-0.261,-0.143,40.894,-55.420,-5.005
-0.284,-0.179,-0.132,29.297,-62.744,0.671
-0.367,-0.088,-0.104,18.372,-68.237,9.033
-0.429,0.005,-0.063,7.324,-72.144,20.569
-0.467,0.109,-0.005,-3.906,-75.928,35.889
-0.497,0.219,0.081,-15.808,-79.285,55.359
-0.506,0.301,0.162,-29.419,-84.290,78.308
-0.495,0.376,0.220,-42.664,-92.102,106.445
-0.464,0.458,0.278,-52.673,-101.685,139.771
-0.409,0.523,0.330,-59.204,-111.877,176.575
-0.321,0.575,0.373,-63.293,-123.779,213.440
-0.160,0.599,0.427,-65.552,-135.437,245.728
-0.010,0.595,0.462,-67.505,-144.897,271.118
0.147,0.567,0.494,-67.627,-152.527,289.490
0.335,0.530,0.519,-66.895,-156.921,300.964
0.512,0.505,0.521,-67.749,-156.982,310.120
0.704,0.479,0.522,-68.115,-150.146,320.251
0.900,0.429,0.532,-66.528,-137.329,331.421
1.129,0.358,0.618,-63.354,-121.033,340.149
1.471,0.282,0.757,-62.134,-102.539,344.849
1.853,0.181,0.924,-63.965,-83.679,345.215
2.198,0.023,1.063,-66.101,-66.101,339.722
2.468,-0.144,1.107,-63.354,-50.659,328.796
2.595,-0.321,1.105,-48.645,-42.053,312.500
2.689,-0.421,1.065,-28.931,-42.969,286.926
2.808,-0.452,1.017,-13.123,-52.002,255.127
2.908,-0.467,0.949,-4.028,-63.843,226.257
2.982,-0.502,0.881,-0.061,-74.768,200.928
3.032,-0.542,0.808,0.610,-81.482,175.781
3.086,-0.567,0.707,0.183,-79.956,149.536
3.123,-0.577,0.633,0.122,-68.909,123.718
3.119,-0.568,0.565,-0.122,-52.185,98.999
3.093,-0.552,0.491,-0.916,-29.846,76.782
3.040,-0.549,0.420,-1.160,-5.920,55.908
2.952,-0.549,0.374,-2.014,15.930,32.288
2.748,-0.561,0.302,-5.005,35.034,2.197
2.743,-0.530,0.288,-7.935,48.889,-34.973
2.569,-0.442,0.151,-9.460,56.274,-72.815
2.489,-0.370,0.099,-12.939,74.280,-111.145
2.352,-0.269,0.041,-13.794,82.458,-140.991
2.219,-0.184,0.006,-19.348,92.651,-165.588
2.092,-0.120,0.000,-26.672,100.586,-184.326
2.019,-0.071,0.009,-35.950,108.215,-200.989
1.972,-0.044,0.047,-46.936,116.882,-214.600
1.911,-0.032,0.091,-57.495,124.451,-225.098
1.837,-0.023,0.125,-66.223,130.249,-236.023
1.763,-0.007,0.150,-72.815,134.094,-248.962
1.702,-0.007,0.185,-78.003,135.742,-262.268
1.612,-0.004,0.221,-83.191,135.254,-275.024
1.510,-0.014,0.251,-89.417,132.507,-288.574
1.385,-0.016,0.277,-95.337,127.930,-302.612
1.252,-0.009,0.301,-100.098,122.559,-315.735
1.128,0.010,0.325,-103.394,117.493,-326.294
1.006,0.048,0.354,-105.652,112.793,-331.970
0.879,0.043,0.374,-107.666,109.192,-332.153
0.748,0.053,0.394,-109.985,106.934,-329.407
0.627,0.068,0.434,-109.985,105.286,-326.782
0.504,0.097,0.492,-109.619,104.431,-323.242
0.405,0.146,0.573,-110.352,104.492,-319.946
0.283,0.182,0.649,-113.220,106.995,-314.331
0.121,0.215,0.749,-115.723,109.985,-306.274
-0.026,0.253,0.860,-115.417,114.014,-296.021
-0.179,0.282,0.990,-108.459,119.995,-279.663
-0.317,0.267,1.108,-93.018,123.962,-253.174
-0.396,0.222,1.208,-70.923,121.277,-217.651
-0.400,0.152,1.290,-47.668,109.863,-176.453
-0.352,0.039,1.307,-29.114,90.759,-135.803
-0.290,-0.087,1.262,-16.846,67.139,-102.417
-0.217,-0.180,1.207,-10.498,40.527,-81.177
-0.147,-0.271,1.128,-11.169,11.902,-70.374
-0.140,-0.328,1.017,-17.639,-14.038,-66.833
-0.096,-0.363,0.939,-25.452,-32.593,-69.336
-0.104,-0.373,0.898,-32.166,-43.945,-72.754
-0.120,-0.373,0.857,-36.499,-45.288,-72.632
-0.158,-0.380,0.832,-34.241,-39.001,-67.566
-0.202,-0.433,0.827,-25.208,-27.893,-59.143
-0.202,-0.488,0.817,-11.902,-15.991,-51.758
-0.179,-0.527,0.795,4.211,-5.920,-46.814
-0.145,-0.561,0.772,20.752,-0.183,-40.039
-0.122,-0.592,0.719,32.410,0.122,-32.349
-0.113,-0.648,0.648,39.307,-2.075,-25.269
-0.094,-0.707,0.560,43.518,-5.188,-21.973
-0.052,-0.738,0.472,46.448,-6.775,-21.729
-0.016,-0.756,0.403,48.828,-5.188,-21.057
-0.008,-0.769,0.341,50.049,-0.793,-18.555
-0.002,-0.788,0.297,50.293,6.226,-15.686
0.014,-0.802,0.277,49.072,13.733,-12.817
0.030,-0.823,0.278,45.715,18.127,-9.644
0.045,-0.849,0.282,40.710,17.151,-7.690
0.053,-0.868,0.277,33.203,10.803,-7.812
0.054,-0.877,0.271,24.109,1.526,-9.033
0.057,-0.876,0.279,15.259,-6.958,-8.911
0.060,-0.878,0.292,8.667,-13.733,-6.958
0.067,-0.880,0.302,4.517,-18.799,-3.723
0.077,-0.885,0.307,3.052,-21.912,0.000
0.090,-0.892,0.316,3.418,-22.888,2.319
0.092,-0.894,0.321,4.456,-23.071,2.747
0.079,-0.882,0.328,5.188,-21.484,1.343
0.065,-0.865,0.356,6.470,-18.555,-0.122
0.054,-0.847,0.397,7.324,-15.686,-0.305
0.045,-0.838,0.441,6.775,-14.221,1.343
0.041,-0.826,0.490,6.409,-14.404,4.211
0.045,-0.821,0.536,6.531,-16.296,7.324
0.875,-0.872,-0.021,38.696,0.183,-66.040
0.872,-0.793,-0.135,38.818,-4.272,-58.655
0.792,-0.704,-0.152,32.715,-25.208,-53.040
0.674,-0.672,-0.378,23.010,-52.612,-49.866
0.530,-0.559,-0.324,26.123,-89.722,-46.997
0.354,-0.406,-0.314,38.452,-104.614,-43.762
0.296,-0.449,-0.271,55.847,-102.234,-49.255
0.312,-0.487,-0.252,64.209,-96.802,-61.157
0.306,-0.501,-0.212,68.115,-94.238,-68.542
0.125,-0.341,-0.126,65.247,-92.163,-69.214
-0.050,-0.265,-0.005,64.941,-77.881,-80.627
-0.112,-0.307,0.062,51.697,-45.349,-117.493
-0.086,-0.479,0.006,23.743,-9.583,-149.536
-0.023,-0.500,-0.102,-2.502,3.052,-143.433
-0.069,-0.495,-0.142,-14.221,-14.343,-117.004
-0.249,-0.454,-0.094,-17.212,-46.631,-88.867
-0.363,-0.376,-0.004,-24.231,-79.712,-60.425
-0.474,-0.311,0.010,-41.565,-96.680,-32.410
-0.580,-0.292,0.025,-58.228,-106.689,-3.662
-0.638,-0.241,0.030,-70.251,-115.723,27.405
-0.678,-0.175,0.086,-77.209,-128.845,65.613
-0.751,-0.106,0.178,-82.153,-143.311,114.258
-0.835,-0.039,0.247,-85.693,-151.672,163.940
-0.863,0.048,0.302,-84.290,-152.893,208.618
-0.819,0.106,0.361,-76.355,-143.250,251.160
-0.690,0.205,0.401,-62.927,-127.563,294.495
-0.501,0.300,0.488,-47.241,-110.107,336.609
-0.234,0.418,0.605,-32.227,-95.276,372.070
0.085,0.527,0.758,-20.447,-85.510,401.428
0.444,0.561,0.933,-10.803,-83.801,422.424
0.829,0.620,1.044,-7.690,-92.773,434.631
1.251,0.495,1.086,-12.695,-106.079,434.692
1.598,0.397,1.069,-16.785,-121.460,423.462
1.778,0.377,0.984,-17.822,-134.644,401.489
1.853,0.351,0.887,-23.865,-141.174,375.183
1.904,0.456,0.816,-29.480,-142.883,355.896
1.965,0.466,0.846,-28.748,-145.752,337.646
2.003,0.534,0.930,-23.560,-140.808,329.285
2.080,0.682,1.051,-17.029,-134.583,318.970
2.387,0.743,1.258,-5.798,-134.277,298.096
2.716,0.664,1.514,9.094,-142.761,267.639
2.777,0.574,1.813,19.470,-152.100,234.985
